Calf #,DOB,Sex,Color,Sire,wt. 4/14,4/14-Wt/DofA,4/14-205Wt.,WT5/5,5/5-Wt/DofA,5/5-205Wt.,Wt5-11,5/11-Wt/DofA,5/11-205Wt.,Wt5-15,5/15-Wt/DofA,5/15-205Wt.
9135,6/12/2018,H,Bk/Wf,R0723,826,2.7,601,908,2.78,621,908,2.73,611,932,2.77,620
9356,7/11/2018,H,Bk mottle,Objective,728,2.63,581,798,2.68,595,772,2.54,567,798,2.59,578
9996,7/7/2018,H,Bk/wforehead,WarParty,702,2.5,554,742,2.46,549,784,2.55,569,792,2.54,568
145,7/14/2018,H,Bk/MF,Objective,664,2.42,536,704,2.39,533,722,2.4,536,762,2.5,558
1752,8/12/2018,H,Bk,Objective,692,2.82,615,722,2.71,597,736,2.71,596,750,2.72,599
2052,8/18/2018,H,Bk/Mf,Regis,684,2.86,621,718,2.76,605,720,2.71,595,746,2.76,608
4135b,8/17/2018,H,Bk,Regis,652,2.72,591,712,2.73,598,732,2.74,603,740,2.73,601
2264,8/24/2018,H,Bk,Objective,644,2.76,599,682,2.69,587,676,2.6,571,738,2.8,613
8286,8/13/2018,H,Black,WarParty,686,2.81,612,702,2.65,582,734,2.71,596,734,2.67,589
2236,8/30/2018,H,Bk,Elation,646,2.85,614,650,2.62,572,690,2.72,594,724,2.81,614
264,8/23/2018,H,Bk,Obective,636,2.72,589,686,2.69,589,708,2.71,595,708,2.67,587
5052,8/15/2018,H,Bk,Elation,646,2.67,581,682,2.59,570,688,2.56,564,698,2.56,565
4045,7/25/2018,H,Bk,Elation,658,2.5,551,670,2.36,525,676,2.33,520,694,2.36,527
4552,9/4/2018,H,Bk,Elation,622,2.8,603,672,2.77,602,690,2.77,605,694,2.74,600
5436,8/13/2018,H,Bk,Elation,644,2.64,575,672,2.54,558,704,2.6,573,690,2.51,555
6835B,8/6/2018,H,Bk,Elation,616,2.45,538,614,2.26,500,674,2.42,537,684,2.43,538
3364,8/13/2018,H,Bk,Obective,572,2.34,512,620,2.34,516,652,2.41,532,678,2.47,545
0815B,9/3/2018,H,Bk,Regis,602,2.7,582,660,2.7,589,624,2.5,546,674,2.65,581
4886,8/11/2018,H,Red,WarParty,648,2.63,575,650,2.43,537,678,2.48,549,672,2.43,537
4764,8/22/2018,H,Bk,Obective,594,2.53,549,628,2.45,539,646,2.47,543,668,2.51,553
